,Title,Location,Company,Salary,Synopsis
182,Graduate Studies Program - Data Scientist,None,        Central Intelligence Agency,"
                $27.17 - $36.60 an hour","                            As a Data Scientist Graduate Intern, you will work side-by-side with other Data Scientists to organize and interpret data to inform US decision makers, drive..."
183,Data Scientist,"Alexandria, VA 22314 (Southwest Quadrant area)",        Society for Human Resource Management,None,"            Advanced proficiency in R and/or Python programming, including machine learning and data visualization tools (Scikit-learn, R packages for machine learning &..."
184,Junior Data Scientist,"Tysons, VA",        Logistics Management Institute,None,"            Preferred experience with data science methods related to data architecture, data munging, data and feature engineering, and predictive analytics...."
185,Data Scientist,"Washington, DC",        U.S. Federal Government,"
                $67,968 - $126,062 a year","Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at..."
186,Data Scientist - Client Services,"Washington, DC 20005 (Logan Circle area)",        Morning Consult,None,"            Expertise with R statistical software (i.e., data visualization and processing). Morning Consult is re-defining how public opinion data is measured – from..."
187,Data Scientist,"Washington, DC",        CORMAC Corporation,None,"            Leverage expertise in machine learning, data mining, statistical, and graph based algorithms in data analysis, solution development, analytic workflow processes..."
188,Data Scientist,"Reston, VA",        ISE Data Systems,None,"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s..."
189,Data Scientist — Predictive Analytics,"Washington, DC",        Gallup,None,            Minimum of two years of experience building production-level machine learning and predictive analytics systems along with data pipelines....
190,Social Scientist - Environmental Data Analyst,"Washington, DC",        US Department of Transportation,"
                $68,036 - $106,012 a year","            OST is looking for a seasoned, motivated and self-reliant professional who can share their expertise in applying advanced statistical, mathematical,..."
191,Federal - Junior Data Scientist,"Suitland, MD",        Accenture,None,"            You’ll be part of a diverse team of industry experts who specialize in data engineering, data mining, machine learning, statistics, and visualization with..."
192,Data Scientist,"Washington, DC",        ANALYTICA,None,"            Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management..."
